AEMD,"Aethlon Medical, Inc.",5.58,42532952.94,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd
AEPI,AEP Industries Inc.,61.61,314668207.8,n/a,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi
AETI,"American Electric Technologies, Inc.",1.88,15558050.92,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AEY,"ADDvantage Technologies Group, Inc.",1.85,18632017.85,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
AEZS,AEterna Zentaris Inc.,3.6,35743309.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
AFAM,Almost Family Inc,37.01,381187270.8,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
AFH,"Atlas Financial Holdings, Inc.",17.47,210046963.7,n/a,2013,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afh
AFOP,"Alliance Fiber Optic Products, Inc.",14.92,235565688.2,n/a,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop
AFSI,"AmTrust Financial Services, Inc.",24.56,4316423512,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
AGEN,Agenus Inc.,4.68,404897145.1,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGII,"Argo Group International Holdings, Ltd.",55.72,1538504812,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agii
AGIIL,"Argo Group International Holdings, Ltd.",25.67,0,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agiil
AGIO,"Agios Pharmaceuticals, Inc.",48.31,1828560602,n/a,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AGNC,American Capital Agency Corp.,18.65,6293748752,n/a,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCP,American Capital Agency Corp.,25.68,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
AGYS,"Agilysys, Inc.",10.21,234565111.8,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AHGP,"Alliance Holdings GP, L.P.",14.58,872802540,n/a,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
AHPI,"Allied Healthcare Products, Inc.",0.65,5217645.55,n/a,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AIMC,Altra Industrial Motion Corp.,27.83,720075201.1,n/a,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
AINV,Apollo Investment Corporation,5.78,1307184547,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv
AIQ,"Alliance HealthCare Services, Inc.",7.09,75273707.56,n/a,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
AIRM,Air Methods Corporation,35.79,1387879008,n/a,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm
